description,playlist_external_urls,playlist_href,playlist_id,images,playlist_name,playlist_owner,snapshot_id,tracks,type,playlist_uri,category_name,category_id
a hardcore home for slowcore fans.,https://open.spotify.com/playlist/37i9dQZF1DX30gKInBBe5k,https://api.spotify.com/v1/playlists/37i9dQZF1DX30gKInBBe5k,37i9dQZF1DX30gKInBBe5k,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003460b15d9a0c94a29397d122d', 'width': 0}]",slowcore,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3MzQ1MzM0MiwwMDAwMDAwMGE1NzJjN2E1NDRiNmEzMTljNmI3NjZjOTZjY2U1MDNm,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX30gKInBBe5k/tracks', 'total': 84}",playlist,spotify:playlist:37i9dQZF1DX30gKInBBe5k,Indie,0JQ5DAqbMKFCWjUTdzaG0e
Editors' picks of the best indie tracks this year. Cover: Japanese Breakfast,https://open.spotify.com/playlist/37i9dQZF1DWW06b4n9Ho9J,https://api.spotify.com/v1/playlists/37i9dQZF1DWW06b4n9Ho9J,37i9dQZF1DWW06b4n9Ho9J,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000033ab369c3d6240e08f7529c1a', 'width': 0}]",Best Indie Songs of 2021,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTYzOTQyMzA4NSwwMDAwMDAwMDBjMjU2ZTZlNTA0NDlkMGI3NGVmMmQ4ZjhjYWNiZTFh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWW06b4n9Ho9J/tracks', 'total': 104}",playlist,spotify:playlist:37i9dQZF1DWW06b4n9Ho9J,Indie,0JQ5DAqbMKFCWjUTdzaG0e
"Weird year overall, but great for indie. Editors' picks of the best tracks of the year. Cover: Phoebe Bridgers",https://open.spotify.com/playlist/37i9dQZF1DWWkGXMGv9j4M,https://api.spotify.com/v1/playlists/37i9dQZF1DWWkGXMGv9j4M,37i9dQZF1DWWkGXMGv9j4M,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003136bf43c0db37b325562a657', 'width': 0}]",Best Indie Songs of 2020,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTYwNjkyMTY0MywwMDAwMDAwMDE0MjZjYjk5MjRlNTEyNzBhOWUyZWRhZGY1ZDYxODcy,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWWkGXMGv9j4M/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DWWkGXMGv9j4M,Indie,0JQ5DAqbMKFCWjUTdzaG0e
The best indie rock/pop/punk/dance/hip hop/r&b of 2019. Cover: Clairo,https://open.spotify.com/playlist/37i9dQZF1DWTc5QDlvD7t0,https://api.spotify.com/v1/playlists/37i9dQZF1DWTc5QDlvD7t0,37i9dQZF1DWTc5QDlvD7t0,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f0000000337cde70efa74a489d7bb3fff', 'width': 0}]",Ultimate Indie Presents... Best Tracks of 2019,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTU3NTk5NDk2MiwwMDAwMDAwMDM2ZTk1OGFlYWM3ZGM4MGIxOTMyZTRiOGExZWJlYmQx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWTc5QDlvD7t0/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWTc5QDlvD7t0,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2010 highlights from the home of indie music. Cover: Gorillaz.,https://open.spotify.com/playlist/37i9dQZF1DWULq23fLWDsl,https://api.spotify.com/v1/playlists/37i9dQZF1DWULq23fLWDsl,37i9dQZF1DWULq23fLWDsl,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003462d3227d1d191d59b06125e', 'width': 0}]",Best of Indie 2010,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY2MjM3NzQ4NSwwMDAwMDAwMGQwZTdjYTE2YmY3ZDYxMTM0Y2RjNjRlOTg0MWNkNTY4,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWULq23fLWDsl/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DWULq23fLWDsl,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2011 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DX2Vedp1NjGn9,https://api.spotify.com/v1/playlists/37i9dQZF1DX2Vedp1NjGn9,37i9dQZF1DX2Vedp1NjGn9,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000036280d1ece4a2aceff7cd1726', 'width': 0}]",Best of Indie 2011,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY1MDkxNjQ0NCwwMDAwMDAwMGU3ODY4NjBhOTE1YTJkZjZkNDg4YmE3Zjc2ZmRjZjU1,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX2Vedp1NjGn9/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX2Vedp1NjGn9,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2012 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DX3n9iLlurL09,https://api.spotify.com/v1/playlists/37i9dQZF1DX3n9iLlurL09,37i9dQZF1DX3n9iLlurL09,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003502de9ae8a69bea4afc5ba43', 'width': 0}]",Best of Indie 2012,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY2NTAzMjcwMCwwMDAwMDAwMDVjOGJmYzQyZjU5MjljZDc5YTdjMTc2N2IwZmFlMTRk,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3n9iLlurL09/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX3n9iLlurL09,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2013 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DWW2mn5wEfG6q,https://api.spotify.com/v1/playlists/37i9dQZF1DWW2mn5wEfG6q,37i9dQZF1DWW2mn5wEfG6q,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003d43133030b5229b12e9553ea', 'width': 0}]",Best of Indie 2013,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY1MDkxNjQ1MiwwMDAwMDAwMDk3YmYzZTg2YjQzNjcxMmJlMDk0ZDk4YTUwMWYxOGMw,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWW2mn5wEfG6q/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DWW2mn5wEfG6q,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2014 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DX3asLxmR3A9e,https://api.spotify.com/v1/playlists/37i9dQZF1DX3asLxmR3A9e,37i9dQZF1DX3asLxmR3A9e,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000033089da7f739832e8d789008a', 'width': 0}]",Best of Indie 2014,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY0MDE4MDc1MCwwMDAwMDAwMDE1YjFmOTk3NTU0NjVkYzE0ZWQ0ZDJhODEwOTk0Yjk3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3asLxmR3A9e/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX3asLxmR3A9e,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2015 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DX6B9HH2fw0SO,https://api.spotify.com/v1/playlists/37i9dQZF1DX6B9HH2fw0SO,37i9dQZF1DX6B9HH2fw0SO,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f0000000317870acebe652695778f75a4', 'width': 0}]",Best of Indie 2015,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY0MTIxOTg5NiwwMDAwMDAwMDY4NGM2OTczM2JkYjFiNTQ2MmFjOTUxZTBjZGJlOWQy,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX6B9HH2fw0SO/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX6B9HH2fw0SO,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2016 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DX0XnW5YpwS0o,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XnW5YpwS0o,37i9dQZF1DX0XnW5YpwS0o,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000030915317775e9e123dabf5fc8', 'width': 0}]",Best of Indie 2016,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY0MTIxNzE0NiwwMDAwMDAwMDNjNDMyODhjYzMyMjgyNjBjOGZhNDI1ODA5Mjk2OWEz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0XnW5YpwS0o/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX0XnW5YpwS0o,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2017 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DXcR9zJKQUPAH,https://api.spotify.com/v1/playlists/37i9dQZF1DXcR9zJKQUPAH,37i9dQZF1DXcR9zJKQUPAH,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003d9943a2d3ea482dce90f018a', 'width': 0}]",Best of Indie 2017,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY2Njg0OTEzOCwwMDAwMDAwMDA3NzFjNTlkNmM1MjI4ZTU3MmI3ODZjYTdjMWNmMTgz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcR9zJKQUPAH/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DXcR9zJKQUPAH,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2018 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DWY7UuaejrQg4,https://api.spotify.com/v1/playlists/37i9dQZF1DWY7UuaejrQg4,37i9dQZF1DWY7UuaejrQg4,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003973c3239fdf5a29090a2fd57', 'width': 0}]",Best of Indie 2018,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY0Njc1MjAyNiwwMDAwMDAwMGNlYjYyMTM5NjcyNGMwNDNjNjgxNWMwYzU2NmExZDdi,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWY7UuaejrQg4/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DWY7UuaejrQg4,Indie,0JQ5DAqbMKFCWjUTdzaG0e
2019 highlights from the home of indie music.,https://open.spotify.com/playlist/37i9dQZF1DX05We5FN3NiD,https://api.spotify.com/v1/playlists/37i9dQZF1DX05We5FN3NiD,37i9dQZF1DX05We5FN3NiD,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003d95df1150a647b248578424b', 'width': 0}]",Best of Indie 2019,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY2MzMwNDAxNiwwMDAwMDAwMDQ2NDY5Yzc0Njg3NzhjMjUwZjFjN2Y2NDZkYWEwZGIx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX05We5FN3NiD/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX05We5FN3NiD,Indie,0JQ5DAqbMKFCWjUTdzaG0e
"Classics by the pioneers of the sound, and its modern-day icons. Cover: 100 gecs",https://open.spotify.com/playlist/37i9dQZF1DXakZCf7SV1CS,https://api.spotify.com/v1/playlists/37i9dQZF1DXakZCf7SV1CS,37i9dQZF1DXakZCf7SV1CS,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003ef49042fbdb0f4436c2c371a', 'width': 0}]",Hyperpop Classics,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3Mzk4MTI2MywwMDAwMDAwMDEyYjljOGIwMTliYzQ5ODdmZWZkOWI0M2YxMzVhYjg3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXakZCf7SV1CS/tracks', 'total': 75}",playlist,spotify:playlist:37i9dQZF1DXakZCf7SV1CS,Indie,0JQ5DAqbMKFCWjUTdzaG0e
"Uff, you've fallen! 💜",https://open.spotify.com/playlist/37i9dQZF1DXbQDZkQM83q7,https://api.spotify.com/v1/playlists/37i9dQZF1DXbQDZkQM83q7,37i9dQZF1DXbQDZkQM83q7,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f0000000358704b7e91d2ff0b594daa71', 'width': 0}]",pov: you're in love,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3NjQ1NzEyMCwwMDAwMDAwMGY1MDI4OTM5YzkyNTA4NTdjODgzOGQzMzdkM2M4MGQ0,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXbQDZkQM83q7/tracks', 'total': 80}",playlist,spotify:playlist:37i9dQZF1DXbQDZkQM83q7,Indie,0JQ5DAqbMKFCWjUTdzaG0e
The best Indie tracks from the scene. Cover - Taaruk Raina,https://open.spotify.com/playlist/37i9dQZF1DX5q67ZpWyRrZ,https://api.spotify.com/v1/playlists/37i9dQZF1DX5q67ZpWyRrZ,37i9dQZF1DX5q67ZpWyRrZ,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003bb8136dbed0f363b757fb18f', 'width': 0}]",Indie India ,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3NjI4MjkwMCwwMDAwMDAwMGE1ZDVlMzQxODQxYTAyMTBjMjk0MDIyZTQyNDk3NjQx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5q67ZpWyRrZ/tracks', 'total': 75}",playlist,spotify:playlist:37i9dQZF1DX5q67ZpWyRrZ,Indie,0JQ5DAqbMKFCWjUTdzaG0e
Soft chill for the dreamy  ✨,https://open.spotify.com/playlist/37i9dQZF1DWWhejoFhUUFy,https://api.spotify.com/v1/playlists/37i9dQZF1DWWhejoFhUUFy,37i9dQZF1DWWhejoFhUUFy,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000035eb058171e52e85abd105720', 'width': 0}]",Chill Station,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3NjM1NzU2MSwwMDAwMDAwMGVlYmU0NjkzNmJkNDVjOTUyYTVkZGEzNTc0Y2E0Y2Ix,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWWhejoFhUUFy/tracks', 'total': 95}",playlist,spotify:playlist:37i9dQZF1DWWhejoFhUUFy,Indie,0JQ5DAqbMKFCWjUTdzaG0e
